"Hyponim","Hypernim","Text","Link"
"КАВАЛЕРГАРД","Страж","КАВАЛЕРГАРДЫ (от франц. cavalier - всадник и garde - охрана), кавалерийская часть в русской гвардии в 18 - нач. 20 вв. Первоначально (с 1724) почетная стража императора во время торжеств, с 1800 - гвардейский кавалерийский полк, который отличился в Аустерлицком сражении, Отечественной войне 1812, Заграничных походах русской армии 1813-14, участвовал в 1-й мировой войне.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B2%D0%B0%D0%BB%D0%B5%D1%80%D0%B3%D0%B0%D1%80%D0%B4%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%BE%D0%BB%D0%BA"
"КАВАЛЕРГАРД","Телохранитель","КАВАЛЕРГАРДЫ (от французского cavalier - всадник и garde - охрана), в России с 1724 телохранители и почетная стража царствующих особ, в 1800 - 1917 гвардейский кавалерийский полк.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B2%D0%B0%D0%BB%D0%B5%D1%80%D0%B3%D0%B0%D1%80%D0%B4%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%BE%D0%BB%D0%BA"
"КАВАЛЕРГАРД","Полк","Один из самых блестящих и привилегированных полков русской армии, гвардейская тяжелая кавалерия — кавалергарды! Полк, воспитавший братьев Левенвольдов и Давыдовых, М. Лунина, Н. Репнина, Н. Депрерадовича, Ф. Уварова, обессмертившая себя в сражениях под Аустерлицем, Бородино, Фершампенуазом.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B2%D0%B0%D0%BB%D0%B5%D1%80%D0%B3%D0%B0%D1%80%D0%B4%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%BE%D0%BB%D0%BA"
"КАВАЛЕРГАРД","Кавалерия","Кавалергарды представляли собой элиту русской кавалерии, и потому командование держало их в резерве, отправляя в бой только в самом крайнем случае. Так, кавалергардов использовали в бою 15(27) июля под Лучесой, где они прикрыли фланг арьергарда, а потом - в Смоленском сражении. В результате этих боев к началу Бородинского сражения в строю Кавалергардского полка осталось 30 офицеров и 549 нижних чинов.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B2%D0%B0%D0%BB%D0%B5%D1%80%D0%B3%D0%B0%D1%80%D0%B4%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%BE%D0%BB%D0%BA"
"КАВАЛЕРГАРД","Эскадрон","Кавалергарды подоспели уже в критический момент сражения. Переправившись по плотине через ручей, три первых эскадрона развернулись вправо, сдерживая натиск французской пехоты и прикрывая отход разрозненных групп преображенцев. 4-й и 5-й эскадроны пошли прямо на выручку Семеновского полка, с трудом отбивавшегося от конных егерей французской гвардии и мамелюков.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B2%D0%B0%D0%BB%D0%B5%D1%80%D0%B3%D0%B0%D1%80%D0%B4%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%BE%D0%BB%D0%BA"
"КАВАЛЬКАДА","Группа
","КАВАЛЬКАДА (франц. cavalcade) группа всадников, едущих вместе.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B2%D0%B0%D0%BB%D1%8C%D0%BA%D0%B0%D0%B4%D0%B0"
"КАВАЛЬКАДА","прогулка","На прогулку выехали веселой кавалькадой","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B2%D0%B0%D0%BB%D1%8C%D0%BA%D0%B0%D0%B4%D0%B1"
"КАВАЛЬКАДА","Отряд","Издали стадо мчащихся гуанако похоже на кавалькаду, и путешественники часто ошибаются, принимая их за отряд скачущих всадников.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B2%D0%B0%D0%BB%D1%8C%D0%BA%D0%B0%D0%B4%D0%B2"
"КАВАЛЬКАДА","Эскорт","Мадам де Монтеспан всюду сопровождал отряд телохранителей, королевские офицеры отдавали ей честь, а во время путешествий за ее каретой, влекомой шестеркой лошадей, тянулась кавалькада почетного эскорта и бесконечный кортеж свиты.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B2%D0%B0%D0%BB%D1%8C%D0%BA%D0%B0%D0%B4%D0%B3"
"КАВАЛЬКАДА","Кортеж","Мадам де Монтеспан всюду сопровождал отряд телохранителей, королевские офицеры отдавали ей честь, а во время путешествий за ее каретой, влекомой шестеркой лошадей, тянулась кавалькада почетного эскорта и бесконечный кортеж свиты.","https://поискслов.рф/wd/%D0%BA%D0%B0%D0%B2%D0%B0%D0%BB%D1%8C%D0%BA%D0%B0%D0%B4%D0%B4"
